filename,genre,mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,mfcc_mean_14,mfcc_std_14,mfcc_mean_15,mfcc_std_15,mfcc_mean_16,mfcc_std_16,mfcc_mean_17,mfcc_std_17,mfcc_mean_18,mfcc_std_18,mfcc_mean_19,mfcc_std_19,mfcc_mean_20,mfcc_std_20
blues.00000.wav,blues,-113.619385,50.703182,121.55303,17.19664,-19.151056,15.34861,42.345768,12.281505,-6.3711677,12.962432,18.613033,9.442965,-13.69206,8.222213,15.339378,8.310419,-12.283617,9.063802,10.973776,7.9624414,-8.32241,7.8619676,8.8067875,7.1618433,-3.665802,6.4227433,5.745939,6.3687506,-5.161711,7.058576,0.75029784,7.243213,-1.688358,6.0468674,-0.4093285,6.4531875,-2.2988691,7.4213667,1.2199471,6.8538775
blues.00001.wav,blues,-207.58151,88.151985,123.99715,23.667763,8.939115,23.931154,35.870758,16.274376,2.9199703,16.734621,21.518787,12.508815,-8.555368,14.176376,23.355938,11.931994,-10.101037,12.893105,11.906445,10.215605,-5.5581226,10.257861,5.3759418,9.813216,-2.237833,8.0561075,4.2171254,8.554412,-6.0110474,7.2446527,0.93266803,7.4407187,-0.71702784,7.7532763,0.2923333,6.9381366,-0.2857169,7.150609,0.5321445,6.7692857
blues.00002.wav,blues,-90.776344,57.61765,140.44861,22.56351,-29.10056,20.297462,31.68734,12.00615,-13.975971,12.490621,25.741686,8.629561,-13.644712,10.328758,11.623112,10.32607,-11.77592,8.104654,9.700466,8.236836,-13.115349,7.5925255,5.785763,8.037509,-8.899733,7.7766604,-1.0870236,7.598978,-9.216774,6.038823,2.4536483,6.373398,-7.721793,6.9065385,-1.8164971,7.24004,-3.434354,6.828621,-2.2313912,5.5340967
blues.00003.wav,blues,-199.462,74.13483,150.09473,21.36742,5.649167,16.032692,26.870144,12.57767,1.7554408,16.367716,14.236881,11.264206,-4.8288727,12.492485,9.297849,9.009487,-0.753142,9.610511,8.147393,8.439375,-3.1952357,10.503592,6.085354,6.941436,-2.4761882,7.537466,-1.0762246,7.8901334,-2.8760562,7.1865416,0.7769089,6.667608,-3.3200555,7.0878043,0.6372629,6.1116214,-0.61750686,6.1066494,-3.40694,5.6558323
blues.00004.wav,blues,-160.29185,72.09816,126.19577,29.218796,-35.6025,18.267778,22.151169,13.916656,-32.48764,18.342604,10.862022,11.6102,-23.357162,9.659235,0.50052303,11.169667,-11.8047695,11.401259,1.2038774,9.989755,-13.085074,8.961199,-2.8098488,9.300109,-6.935621,9.46644,-7.5592937,8.422141,-9.172152,8.704552,-4.5104084,9.274307,-5.4537363,8.679181,-0.9244677,7.3196697,-4.4080763,7.9327493,-11.701833,7.430688
blues.00005.wav,blues,-177.88876,85.460556,118.18953,56.54741,-17.55073,25.576311,30.753101,22.045116,-21.732107,20.820208,11.898545,16.31228,-20.73228,13.032559,3.176169,11.562216,-8.57577,13.127509,-0.94018424,10.00648,-11.773799,8.751917,-2.426076,8.860253,-9.342487,8.951683,-9.947082,6.895875,-3.9053469,7.74928,-5.568541,8.519501,-1.8399693,8.289742,-2.7841752,6.516645,-3.046112,6.311036,-8.115228,6.803858
blues.00006.wav,blues,-190.17502,98.21622,130.29242,43.98217,-36.348473,36.161358,33.02909,21.916225,11.085681,32.9179,-0.5963726,16.739882,-20.882357,12.316179,0.27711603,10.143775,-6.5008707,11.45195,-5.515623,12.389086,-7.8452897,9.358328,-3.123599,8.014027,-6.595716,8.897414,-9.947577,7.9419365,-6.540925,9.296062,-10.071382,9.128132,-10.912119,7.545707,-6.970003,6.1860814,-3.4485128,6.9349537,-6.498458,8.36777
blues.00007.wav,blues,-179.42007,81.08917,136.4421,38.470413,-26.644339,24.310024,39.97959,18.792528,5.3018146,25.503872,10.921237,11.677463,-20.555347,12.794587,8.507477,12.307668,-11.35436,13.115826,-3.469098,13.357224,-8.414114,12.151825,-6.956976,9.153007,-3.548349,9.660816,-8.051683,7.580675,-8.9604845,9.071809,-8.421077,8.395058,-10.5585985,7.2133436,-10.790192,7.7794085,-4.7007947,8.0987625,-8.638816,7.505687
blues.00008.wav,blues,-121.387115,51.20196,122.505394,20.3649,-14.739394,18.476788,46.135292,13.921793,-8.160384,13.293728,20.17051,10.343644,-19.169321,7.594192,23.050188,8.770052,-11.825939,6.5177164,21.17341,7.6440315,-6.7202907,6.9971523,7.0050187,7.4997573,-12.739909,7.86743,5.064209,7.109595,-5.1730757,5.7297416,-1.446995,7.110611,-7.0369287,5.3751597,2.6948745,6.077127,3.4093323,5.807247,-2.6991909,6.008099
blues.00009.wav,blues,-213.20453,78.31431,115.15454,28.262222,-11.720503,25.864157,39.032555,18.730318,-20.357819,23.071655,13.089926,16.684895,-9.180816,11.249238,9.023639,8.2433195,-14.101023,10.496001,4.283337,9.617187,-6.044196,9.212237,3.786368,10.222245,0.22368751,8.740899,-5.114481,9.242065,-0.4145367,10.200085,-1.1848986,7.702675,-1.9183391,7.647867,-2.2957962,9.120193,2.89123,8.777186,-4.234533,9.566596
blues.00010.wav,blues,-173.71587,90.2122,137.14024,32.895638,-23.767647,32.04959,26.99174,22.262089,-16.687662,17.024559,4.2143745,12.638329,-12.582618,12.267991,5.8545594,9.082866,-2.8846726,10.4207115,-1.1866812,8.099662,-1.9771539,7.44855,1.8001548,7.6134143,-3.0044112,9.680582,-1.8699358,6.3364367,-0.7962682,7.0526485,-3.0132642,7.9358287,-0.43592533,7.554105,-2.00181,7.457623,-0.7466386,6.870872,-5.001238,6.8177133
blues.00011.wav,blues,-287.92355,77.045265,123.97102,31.523533,5.4561224,17.381048,33.684544,18.55079,1.0892011,21.01286,14.704721,15.348381,-4.898606,12.217013,8.6532755,13.753051,0.7827977,12.197827,6.5667357,10.686266,-4.87944,9.686741,-3.1806588,9.17844,-5.557003,8.085729,-6.786621,7.797515,-2.6442327,7.4516063,-2.9824317,7.382002,-3.3811386,6.313457,-1.8614974,6.8450036,1.8359205,6.0883555,-4.8965116,5.3012223
blues.00012.wav,blues,-207.20874,67.661995,132.79709,25.794357,-15.460706,30.592875,60.99486,18.18241,0.710241,17.721489,12.461279,10.059374,1.1609277,10.392875,-1.5278945,10.568409,-17.901815,9.819367,8.369234,9.735622,-2.4538186,11.820317,-0.5966888,9.624632,0.3688164,9.283365,2.6052277,7.3317795,-5.193015,6.773997,-9.530149,8.32624,-9.2374,7.975776,-2.8406758,8.298301,-1.4114444,10.610353,-5.9310284,9.567372
blues.00013.wav,blues,-209.7822,44.38294,124.46592,23.290462,10.285805,25.728228,47.030174,12.177268,6.4823856,10.098318,15.417021,12.095588,-2.0100777,8.332419,6.735786,8.717909,-21.54862,9.820377,10.7284975,9.790461,-5.532432,9.524994,-2.2020378,7.695251,-3.0517268,7.237646,8.644019,8.4746685,-0.31084582,8.28486,-0.63614476,9.414431,-2.9359381,9.872067,-1.706597,10.213806,-1.7654228,9.428778,-7.755964,10.674804
blues.00014.wav,blues,-305.69858,90.5473,113.041626,26.103662,12.114901,38.257935,45.039444,14.991419,17.739239,15.779799,14.59463,12.438758,4.1571283,12.554844,0.24009813,12.913715,-7.013088,9.8775425,13.649845,8.767174,8.923058,9.4865055,1.30169,7.9207954,5.952128,8.022302,8.542282,8.720549,1.1171257,11.709361,0.58821875,8.224779,0.060077444,9.831122,-3.706519,8.102942,-1.001884,9.452686,-1.8044137,10.656262
blues.00015.wav,blues,-238.53304,66.202576,120.08829,26.99122,-4.224556,31.297775,42.310043,19.574749,5.9163294,17.288061,13.914182,10.838106,5.3575773,10.939125,1.9037086,11.995671,-16.92988,9.480667,12.339311,8.733511,3.9409604,9.037074,-1.3906769,7.8046145,0.014792109,7.7852073,3.5804958,9.4633465,-4.5049934,10.096966,-5.5419517,8.801717,-6.8830776,9.676661,-4.8263903,8.10849,1.7385828,8.848998,-1.8840166,11.45489
blues.00016.wav,blues,-233.79489,70.44123,120.66705,23.711533,-3.1675608,34.757095,39.53927,19.91084,3.8588552,16.844215,18.839672,12.497924,-3.6889172,10.01887,4.431845,10.562872,-14.975374,10.074906,17.571035,10.108127,1.8447447,10.42193,2.538607,8.1493845,-1.2386857,8.067007,8.439363,8.063074,-0.2098385,7.6912823,-3.9067852,8.820778,-4.478641,9.075767,-0.012232234,9.240238,1.293265,9.145825,-2.0874293,10.037049
blues.00017.wav,blues,-245.7541,72.07491,140.48093,28.298141,-2.771439,28.210207,60.42012,18.994875,18.9254,15.329366,9.837099,9.987851,3.566577,10.89083,0.5361876,9.650059,-16.367361,11.359438,6.6298547,10.260237,7.269149,9.8356695,-4.01573,8.446647,1.6074535,8.5421295,5.898682,8.871509,-3.0176077,7.4867334,-4.7748995,7.642668,-3.02707,8.104085,-1.9985331,8.059941,-0.058758903,7.9291935,-3.9718897,8.046971
blues.00018.wav,blues,-252.51877,53.61874,104.93698,24.581554,15.31683,25.72705,42.673477,12.750804,6.7626176,9.637907,21.623577,10.824914,-1.3132769,8.57424,5.691932,10.023236,-16.619516,11.194995,12.161626,11.117656,-1.96795,7.221668,1.9697651,8.042828,-0.88895833,6.976862,7.771046,8.456111,2.3869517,10.096329,1.7799876,9.651305,1.3449866,11.483342,3.6371133,13.482834,4.9108076,12.319188,-2.6554039,9.823951
blues.00019.wav,blues,-236.6889,74.70635,138.40428,23.166365,-4.9235754,34.172825,47.647713,17.647171,5.152376,21.601053,8.895284,9.574511,0.48285615,9.904786,-3.801668,12.6051855,-14.974891,8.792124,10.432587,10.22606,-0.35396186,11.592767,0.78834563,8.970575,1.7829305,8.832467,4.2302113,8.583075,-0.47101688,7.9588156,-6.1056542,8.9880905,-5.387077,9.773833,-1.3430609,9.6274805,-3.7227938,8.518503,-4.362499,8.173014
